Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_002_LoginWaitForElementPersent,Chrome 85.0.4183.121,,,2020-09-30 15:54:22,2020-09-30 15:55:25,1m - 2.805s,PASSED
,,,,,,,
Test Cases/TC01_null,Chrome 85.0.4183.121,,,2020-09-30 15:54:22,2020-09-30 15:54:40,17.590s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 15:54:23,2020-09-30 15:54:24,1.788s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 15:54:24,2020-09-30 15:54:36,12.054s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-30 15:54:36,2020-09-30 15:54:37,1.055s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""))",Chrome 85.0.4183.121,,,2020-09-30 15:54:37,2020-09-30 15:54:38,0.433s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 15:54:38,2020-09-30 15:54:39,1.067s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 15:54:39,2020-09-30 15:54:39,0.479s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 15:54:39,2020-09-30 15:54:40,0.317s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 15:54:40,2020-09-30 15:54:40,0.091s,PASSED
,,,,,,,
Test Cases/TC02_userNull,Chrome 85.0.4183.121,,,2020-09-30 15:54:40,2020-09-30 15:54:49,8.956s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 15:54:40,2020-09-30 15:54:41,0.689s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 15:54:41,2020-09-30 15:54:45,4.680s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-30 15:54:45,2020-09-30 15:54:46,1.012s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 85.0.4183.121,,,2020-09-30 15:54:46,2020-09-30 15:54:47,0.521s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 15:54:47,2020-09-30 15:54:48,1.089s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 15:54:48,2020-09-30 15:54:48,0.372s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 15:54:48,2020-09-30 15:54:49,0.323s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 15:54:49,2020-09-30 15:54:49,0.085s,PASSED
,,,,,,,
Test Cases/TC03_passNull,Chrome 85.0.4183.121,,,2020-09-30 15:54:49,2020-09-30 15:55:03,13.820s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 15:54:49,2020-09-30 15:54:50,0.593s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 15:54:50,2020-09-30 15:54:59,9.369s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-30 15:54:59,2020-09-30 15:55:00,1.169s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 15:55:00,2020-09-30 15:55:01,0.676s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 15:55:01,2020-09-30 15:55:02,1.011s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 15:55:02,2020-09-30 15:55:02,0.460s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 15:55:02,2020-09-30 15:55:03,0.287s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 15:55:03,2020-09-30 15:55:03,0.084s,PASSED
,,,,,,,
Test Cases/TC04_succ,Chrome 85.0.4183.121,,,2020-09-30 15:55:03,2020-09-30 15:55:13,10.728s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 15:55:03,2020-09-30 15:55:03,0.580s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 15:55:03,2020-09-30 15:55:09,5.881s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-30 15:55:09,2020-09-30 15:55:10,0.929s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 15:55:10,2020-09-30 15:55:11,0.681s,PASSED
