Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_004_testProfiles,Chrome 85.0.4183.121,,,2020-10-11 22:46:12,2020-10-11 22:46:52,40.302s,PASSED
,,,,,,,
Test Cases/TC03_passNull,Chrome 85.0.4183.121,,,2020-10-11 22:46:12,2020-10-11 22:46:21,9.133s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 22:46:12,2020-10-11 22:46:14,1.700s,PASSED
navigateToUrl(URL),Chrome 85.0.4183.121,,,2020-10-11 22:46:14,2020-10-11 22:46:17,3.426s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 22:46:17,2020-10-11 22:46:18,0.970s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), UsernameQA)",Chrome 85.0.4183.121,,,2020-10-11 22:46:18,2020-10-11 22:46:19,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-11 22:46:19,2020-10-11 22:46:20,0.978s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-10-11 22:46:20,2020-10-11 22:46:21,0.486s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-10-11 22:46:21,2020-10-11 22:46:21,0.317s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-11 22:46:21,2020-10-11 22:46:21,0.091s,PASSED
,,,,,,,
Test Cases/TC02_userNull,Chrome 85.0.4183.121,,,2020-10-11 22:46:21,2020-10-11 22:46:28,7.383s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-11 22:46:21,2020-10-11 22:46:22,0.831s,PASSED
navigateToUrl(URL),Chrome 85.0.4183.121,,,2020-10-11 22:46:22,2020-10-11 22:46:25,2.770s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-11 22:46:25,2020-10-11 22:46:26,0.887s,PASSED
